seed,I_ext,stability_margin,rho_A,T,target_scale,dir_seed,energy,rel_reachability_error
0,0.08,0.23989202310639124,0.8869683214665756,50,0.005,2,6.51810518117873e-05,0.011261071149905409
0,0.08,0.23989202310639124,0.8869683214665756,50,0.01,0,0.0002638437352068589,0.026363325043273097
0,0.08,0.23989202310639124,0.8869683214665756,50,0.01,1,0.00026648006220058055,0.006350969887903524
0,0.08,0.23989202310639124,0.8869683214665756,50,0.01,2,0.00026680247041164254,0.02395189365911564
0,0.08,0.23989202310639124,0.8869683214665756,50,0.02,0,0.001059966314101049,0.013832410826952822
0,0.08,0.23989202310639124,0.8869683214665756,50,0.02,1,0.001145858036630507,0.006864056530474314
0,0.08,0.23989202310639124,0.8869683214665756,50,0.02,2,0.001077526721799651,0.00814947381534334
0,0.08,0.23989202310639124,0.8869683214665756,50,0.05,0,0.006536043308331626,0.015178148418726051
0,0.08,0.23989202310639124,0.8869683214665756,50,0.05,1,0.006932317328649319,0.013510667444885646
0,0.08,0.23989202310639124,0.8869683214665756,50,0.05,2,0.006820305417014936,0.01273848991878715
0,0.08,0.23989202310639124,0.8869683214665756,50,0.1,0,0.024623948436018415,0.03145981661292622
0,0.08,0.23989202310639124,0.8869683214665756,50,0.1,1,0.026942359589462988,0.026832389065343853
0,0.08,0.23989202310639124,0.8869683214665756,50,0.1,2,0.027681200509694474,0.028562294791203112
0,0.08,0.23989202310639124,0.8869683214665756,100,0.005,0,6.488136195720049e-05,0.041948498077990753
0,0.08,0.23989202310639124,0.8869683214665756,100,0.005,1,6.942567615731973e-05,0.04054249963755893
0,0.08,0.23989202310639124,0.8869683214665756,100,0.005,2,6.291007680030228e-05,0.005879425584498214
0,0.08,0.23989202310639124,0.8869683214665756,100,0.01,0,0.0002753130718761403,0.05007017080814224
0,0.08,0.23989202310639124,0.8869683214665756,100,0.01,1,0.0002755178360194967,0.02349952590251985
0,0.08,0.23989202310639124,0.8869683214665756,100,0.01,2,0.00026247610361580857,0.014668053252689633
0,0.08,0.23989202310639124,0.8869683214665756,100,0.02,0,0.0010629414390282365,0.010617454232390045
0,0.08,0.23989202310639124,0.8869683214665756,100,0.02,1,0.0010896474307234732,0.013484822044188712
0,0.08,0.23989202310639124,0.8869683214665756,100,0.02,2,0.0010454525759942637,0.03272369043027084
0,0.08,0.23989202310639124,0.8869683214665756,100,0.05,0,0.006152792629709788,0.01829167945393015
0,0.08,0.23989202310639124,0.8869683214665756,100,0.05,1,0.006595399828857439,0.015767181338147848
0,0.08,0.23989202310639124,0.8869683214665756,100,0.05,2,0.006799001358106534,0.013382873613530964
0,0.08,0.23989202310639124,0.8869683214665756,100,0.1,0,0.026762442402030854,0.025799380037858446
0,0.08,0.23989202310639124,0.8869683214665756,100,0.1,1,0.026711889280440455,0.0224997824556828
0,0.08,0.23989202310639124,0.8869683214665756,100,0.1,2,0.02515383566796286,0.028905985526208707
0,0.08,0.23989202310639124,0.8869683214665756,200,0.005,0,7.051076288691721e-05,0.004823638811813745
0,0.08,0.23989202310639124,0.8869683214665756,200,0.005,1,6.689936127733178e-05,0.027970545476745205
0,0.08,0.23989202310639124,0.8869683214665756,200,0.005,2,6.515002395064084e-05,0.041427964897162176
0,0.08,0.23989202310639124,0.8869683214665756,200,0.01,0,0.00025964223579028696,0.014230812608942949
0,0.08,0.23989202310639124,0.8869683214665756,200,0.01,1,0.00026431751192476926,0.0044905498365891295
0,0.08,0.23989202310639124,0.8869683214665756,200,0.01,2,0.00025610481919733345,0.006749934903631467
0,0.08,0.23989202310639124,0.8869683214665756,200,0.02,0,0.001105531783299173,0.014987675498214415
0,0.08,0.23989202310639124,0.8869683214665756,200,0.02,1,0.0010694124562063356,0.006190205096130499
0,0.08,0.23989202310639124,0.8869683214665756,200,0.02,2,0.0010446354551217416,0.0045352055188244015
0,0.08,0.23989202310639124,0.8869683214665756,200,0.05,0,0.006402511798981194,0.015345812485150738
0,0.08,0.23989202310639124,0.8869683214665756,200,0.05,1,0.007223632331336999,0.020636638566623476
0,0.08,0.23989202310639124,0.8869683214665756,200,0.05,2,0.006275619275834106,0.015146829306301943
0,0.08,0.23989202310639124,0.8869683214665756,200,0.1,0,0.027072787709970604,0.02682661617698815
0,0.08,0.23989202310639124,0.8869683214665756,200,0.1,1,0.027850453256068528,0.024401523522868267
0,0.08,0.23989202310639124,0.8869683214665756,200,0.1,2,0.026891072311396078,0.03948075299216501
0,0.16,0.18897202192967927,0.9098404623272216,5,0.005,0,0.00011292024175380724,0.09674782281472402
0,0.16,0.18897202192967927,0.9098404623272216,5,0.005,1,0.00010945171813485186,0.08572169792567307
0,0.16,0.18897202192967927,0.9098404623272216,5,0.005,2,0.0001113473926480987,0.09644235765349975
0,0.16,0.18897202192967927,0.9098404623272216,5,0.01,0,0.0004474770116675893,0.013301692848511898
